from_id;to_id
250;1427
250;598
250;2473
1427;267
1427;2649
1427;1548
598;4322
2473;2594
267;2594
267;3369
2649;2567
1548;3710
224;3607
224;924
224;1203
3607;1965
924;3126
1203;4377
1965;4168
1965;2479
4168;972
2479;3893
972;1518
972;908
1518;1816
908;1823
1816;3379
3379;133
133;1941
1941;2706
2706;553
553;1335
1335;2950
2950;2936
2936;2220
2220;3063
2220;3446
3063;3985
3446;2278
3985;1365
1365;1725
1725;4203
4203;895
895;3649
3649;1955
1955;3790
3790;4391
4391;761
4391;4214
761;1658
4214;1148
1658;253
253;4148
4148;2457
2457;494
494;4161
4161;798
798;3632
3632;2052
2052;1502
1502;3695
3695;2388
2388;2940
2940;1698
1698;2883
2883;1894
1894;428
428;2718
2718;756
756;3692
3692;1490
1490;1452
1452;151
151;2177
2177;63
63;4118
4118;1563
1563;540
540;2605
2605;2221
2221;2343
2221;565
2221;2121
2343;80
2121;987
80;2106
2106;2136
2136;608
608;3194
3194;2947
2947;4043
4043;1174
1174;898
898;770
770;3693
3693;2840
2840;1912
1912;2969
2969;2919
2919;899
899;3877
3877;3237
3237;2195
2195;1949
1949;1635
1635;3883
3883;2501
3883;628
2501;1843
2501;316
1843;943
316;3133
943;3223
3223;2760
2760;1426
1426;3018
3018;708
708;3251
3251;2756
2756;367
367;543
543;2582
2582;629
629;335
335;2364
2364;1445
2364;1528
1445;2643
1528;657
1528;1097
2643;3265
3265;644
3265;808
644;2336
808;1303
2336;2463
2463;3526
3526;8
3526;1137
3526;3655
8;3108
1137;4202
3655;2952
2151;3580
2151;4409
2151;468
2151;3463
3580;3759
3580;1902
4409;2455
468;1916
3759;974
1902;2842
974;3123
3123;2507
2507;2378
2507;3316
2378;1575
3316;2412
1575;399
399;3615
399;3361
399;1088
3615;748
3361;3086
1088;299
748;2505
2505;4137
4137;2432
2432;438
2432;3118
438;1244
3118;3072
1244;314
314;2069
2069;4338
4338;1268
1268;2610
2610;811
811;2792
2792;310
310;2206
2206;495
495;1241
495;1982
495;1504
1241;698
1982;3362
1504;2849
698;2560
2560;786
2560;847
786;3789
3789;3374
3374;4162
4162;531
531;996
996;2353
2353;4279
2353;860
4279;3255
860;3864
3255;4044
4044;2349
2349;3442
3442;3920
3442;430
3920;1884
3920;2985
1884;3126
2985;2989
478;3973
478;1309
478;3848
3973;2166
1309;3513
3848;1465
2166;975
975;4075
4075;650
650;4384
650;3986
4384;413
4384;166
3986;43
413;2322
2322;572
572;2455
572;2683
2683;2301
2728;2591
2728;3089
2728;3498
2591;1748
2591;2498
3089;2130
3498;1928
1748;3143
2498;1800
3143;487
487;720
720;538
538;230
230;1472
230;3269
1472;4377
3269;2872
2357;131
2357;204
2357;157
2357;1450
131;3112
204;3330
204;4286
157;1227
1450;1265
3112;102
102;646
102;3777
102;1971
646;4166
646;2918
646;2318
3777;4331
1971;1644
4166;2283
2918;1076
2318;4005
2283;1541
1541;976
976;1943
1943;149
149;1907
1907;492
492;2037
2037;2218
2218;414
414;1936
1936;2014
2014;2149
2149;4263
4263;4066
4066;1341
1341;3119
3119;237
237;97
97;254
254;459
459;3958
3958;3548
3548;880
880;3936
3936;3051
3051;1245
1245;2073
2073;861
861;4260
4260;3258
4260;3204
4260;2574
3258;1664
3204;1870
2574;1970
1664;2213
2213;389
389;2771
2771;563
2771;1759
563;2586
1759;872
2586;3006
3006;1542
1542;4393
4393;164
164;3518
3518;1890
3518;1668
3518;2532
1890;3808
1668;3154
2532;2528
3808;1646
1646;3661
3661;1058
1058;3153
1058;2647
3153;1590
2647;1873
1590;2017
2017;3464
3464;2057
2057;1700
1700;1612
1612;1500
1500;3785
1500;3923
3785;3021
3785;1925
3785;585
3923;2869
3021;1
1;4382
4382;2134
2134;1769
2134;3862
1769;1996
3862;2331
1996;3449
3449;2951
2951;1694
1694;1022
1022;1556
1556;3727
3727;3450
3450;2145
2145;1194
1194;354
1194;2433
354;2925
2433;1162
2433;2917
2925;747
747;394
394;228
228;1515
1515;3222
3222;2372
2372;661
661;1159
1159;4141
4141;3229
3229;852
852;3115
3115;4321
4321;752
752;1283
1283;3513
4304;15
4304;3335
4304;3332
4304;1184
15;4247
3335;903
3332;385
1184;183
4247;906
4247;3678
906;867
867;231
231;1436
1436;1838
1838;744
744;3792
3792;3257
3257;2186
3257;2817
2186;638
638;1236
1236;2130
903;1837
903;2237
903;1142
1837;2594
2237;4376
1142;385
2594;2109
2594;385
2109;4322
3369;220
3369;3855
220;1589
3855;931
2567;3306
3306;1589
3306;3500
3500;1431
4376;214
214;2143
2143;931
931;3156
4232;802
4232;2912
4232;2516
802;2190
2912;2200
2516;1270
2190;669
669;336
336;1988
336;3730
1988;1401
3730;1325
1401;1977
1977;932
932;3342
3342;1051
1051;3381
1051;2825
3381;4090
2825;4139
4090;4241
4241;2018
2018;2870
2018;2020
2870;1465
2020;55
2785;4362
2785;4080
2785;2579
4362;1717
4080;2740
2579;1175
1717;3163
3163;3175
3175;4081
4081;401
401;2740
2740;1850
1850;1794
1175;88
88;518
518;1747
1747;2403
2403;3477
3477;3030
3030;2167
2167;4422
4422;822
822;619
619;2998
619;2153
619;1421
2998;2588
2153;4301
1421;16
2588;2160
2160;3495
3495;4388
4388;337
337;4311
4311;4417
4417;409
409;1499
1499;469
469;4028
4028;1101
1101;39
39;3356
3356;4041
4041;325
325;2284
2284;1785
2284;3285
1785;1158
3285;1042
1158;95
95;1161
1161;1507
1507;3995
3995;3231
3231;2804
2804;29
29;2571
2571;3892
3892;2786
2786;813
813;2304
2304;1381
1381;2438
1381;3370
2438;927
927;1593
927;3444
1593;1323
3444;285
1323;2524
2524;2654
2654;2504
2504;269
269;441
269;431
441;346
431;2921
346;2637
2637;2641
2637;1583
2641;1491
1491;3301
3301;1516
1516;1786
1786;2931
2931;580
580;3087
3087;1009
1009;1619
1619;1928
3004;2170
3004;839
3004;1790
2170;1271
2170;4158
839;837
1790;3274
1271;130
4158;1537
130;1469
1469;1398
1398;4373
4373;3396
3396;2737
3396;4182
2737;4054
4182;3722
4054;2003
2003;3466
3466;1779
1779;3515
3515;1916
1916;2809
1916;4117
2809;41
4117;1080
2352;2091
2352;3804
2352;1617
2091;816
2091;1990
3804;238
1617;3942
1617;3099
816;1687
1990;2264
1687;1187
1187;2406
2406;2064
2064;956
956;4036
956;2685
4036;491
2685;1061
491;2709
2709;3330
4286;3628
238;3622
3622;2915
2915;1508
1508;177
177;2200
3942;4324
3099;1122
4324;1761
1761;128
128;1227
3303;659
3303;2980
3303;3080
659;1092
2980;3385
3080;1854
1092;1122
3385;1751
1751;2214
2214;3322
3322;3856
3856;3983
3983;2118
2118;193
193;1782
193;666
1782;2295
666;3683
2295;1037
1037;1270
1854;1844
1844;1935
1935;1829
1935;1046
1829;1123
1046;3610
1123;3729
1123;717
3729;1836
717;3382
1836;2219
1836;2494
2219;262
2494;2808
262;225
225;4123
4123;2536
2536;3943
3943;1913
